ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
1,Rajasthan,Jaipur,Kondapur,House,3,1314,52.48,3993.91,2013,Unfurnished,20.0,24,11,,7,3,1,None,All,West,Agent,Available
2,Maharashtra,Pune,Gomti Nagar,Apartment,1,414,36.91,8915.46,2017,Fully Furnished,15.0,18,7,6.0,3,9,2,Gated,Gym+Pool,North-East,Builder,Available
3,Gujarat,Surat,Electronic City,Apartment,1,359,16.29,4537.6,1997,Fully Furnished,14.0,17,27,0.0,3,2,3,CCTV,All,South-West,Builder,Available
4,Rajasthan,Jodhpur,Electronic City,Apartment,2,1177,133.9,11376.38,2020,Semi-Furnished,15.0,23,4,6.0,3,9,1,CCTV,Gym,North-East,Individual,Under Construction
5,Delhi,New Delhi,Powai,Apartment,2,893,88.58,9919.37,2000,,,19,24,7.0,2,3,0,Guard,Gym,South,Individual,Available
6,West Bengal,Howrah,Koramangala,Apartment,2,858,53.75,6264.57,2011,Fully Furnished,,3,13,2.0,4,3,0,Guard,Pool,South-West,Builder,Available
7,Karnataka,Bangalore,Andheri,Apartment,3,1363,217.76,15976.52,2004,Fully Furnished,,14,20,6.0,2,3,1,CCTV,Gym+Pool,South,Agent,Under Construction
8,Delhi,Dwarka,Gachibowli,Villa,4,1501,166.86,11116.59,2022,Unfurnished,0.0,9,2,8.0,3,9,2,Guard,Pool,East,Builder,Available
9,Delhi,Rohini,HSR Layout,Apartment,3,1208,142.06,11759.93,2001,Fully Furnished,6.0,8,23,2.0,0,5,0,CCTV,All,East,Builder,Available
10,West Bengal,Kolkata,Koramangala,Apartment,2,1110,85.03,7660.36,2021,Unfurnished,5.0,12,3,3.0,6,8,2,CCTV,None,South-West,Individual,Under Construction
11,Tamil Nadu,Madurai,Koramangala,Apartment,3,1468,92.05,6270.44,2008,,2.0,5,16,3.0,7,7,3,Gated,Gym,South,Agent,Under Construction
12,Karnataka,Hubli,Kondapur,Penthouse,2,964,87.82,9109.96,2015,Fully Furnished,15.0,24,9,3.0,3,1,1,Guard,Gym,,Agent,Sold
13,Maharashtra,Nagpur,Andheri,House,4,1837,164.55,8957.54,2000,Semi-Furnished,16.0,24,24,3.0,5,8,3,CCTV,None,South-West,Agent,Sold
14,Karnataka,Mysore,Gomti Nagar,Apartment,5,2301,114.94,4995.22,1993,Fully Furnished,0.0,5,31,3.0,7,8,2,CCTV,None,North,Builder,Available
15,Gujarat,Surat,Gomti Nagar,Studio,3,1328,86.0,6475.9,2022,Unfurnished,14.0,15,2,4.0,3,3,3,CCTV,All,North,Individual,Sold
16,Gujarat,Ahmedabad,Gomti Nagar,Apartment,1,580,74.55,12853.45,2020,Fully Furnished,2.0,3,4,3.0,6,5,3,Guard,None,East,Individual,Under Construction
17,Karnataka,Hubli,Jubilee Hills,Apartment,2,727,41.15,5660.25,1991,Semi-Furnished,16.0,24,33,0.0,0,6,3,Gated,All,South,Agent,Under Construction
18,Delhi,Dwarka,Satellite,Villa,4,2008,181.22,9024.9,2005,Semi-Furnished,13.0,16,19,6.0,6,2,1,CCTV,All,South-West,Individual,Available
19,Gujarat,Surat,Electronic City,Apartment,1,379,17.36,4580.47,2022,Unfurnished,7.0,12,2,4.0,6,4,1,None,Gym+Pool,West,Builder,Under Construction
20,West Bengal,Kolkata,Banjara Hills,Villa,2,1063,109.05,10258.7,2008,Semi-Furnished,22.0,27,16,9.0,4,7,2,Guard,Pool,North-East,Individual,Sold
21,West Bengal,Howrah,Gomti Nagar,House,3,1406,122.32,8699.86,1992,Unfurnished,11.0,14,32,4.0,5,9,0,CCTV,Gym+Pool,North-East,Individual,Available
22,Telangana,Warangal,Electronic City,Apartment,3,1597,79.41,4972.45,2019,Fully Furnished,4.0,11,5,9.0,1,6,0,CCTV,Gym,West,Individual,Under Construction
23,West Bengal,Kolkata,Thane,Apartment,1,419,35.53,8479.71,2016,Fully Furnished,19.0,27,8,,2,1,0,Gated,Pool,East,Agent,Available
24,Tamil Nadu,Chennai,Thane,Apartment,2,909,41.28,4541.25,2012,Unfurnished,16.0,24,12,9.0,1,2,2,Guard,All,,Builder,Available
25,West Bengal,Kolkata,Salt Lake,Studio,3,1601,134.41,8395.38,2007,Semi-Furnished,16.0,23,17,7.0,6,5,3,CCTV,Gym,North-East,Builder,Available
26,Maharashtra,Pune,Whitefield,House,2,618,76.69,12409.39,2001,Semi-Furnished,8.0,11,23,8.0,6,4,2,None,Clubhouse,North-East,Individual,Under Construction
27,Telangana,Hyderabad,Satellite,House,2,948,160.69,16950.42,1998,Semi-Furnished,9.0,10,26,5.0,6,8,1,Gated,None,East,Builder,Available
28,Tamil Nadu,Chennai,Koramangala,Penthouse,2,1151,152.01,13206.78,1995,Semi-Furnished,,24,29,6.0,2,3,2,CCTV,Gym+Pool,North-East,Individual,Available
29,Delhi,New Delhi,Kondapur,Villa,3,1423,137.28,9647.22,2022,Semi-Furnished,5.0,10,2,5.0,1,5,3,Guard,,East,Agent,Available
30,Maharashtra,Pune,Kondapur,Villa,3,1363,119.26,8749.82,1992,Semi-Furnished,15.0,22,32,8.0,2,8,1,None,Pool,West,Individual,Available
31,West Bengal,Howrah,Indiranagar,Villa,1,501,30.72,6131.74,2009,,12.0,15,15,5.0,1,3,3,CCTV,Clubhouse,North,Builder,Sold
32,Telangana,Hyderabad,Satellite,Apartment,4,2081,282.89,13593.95,2000,,20.0,29,24,5.0,2,1,0,None,,North,Builder,Available
33,Delhi,New Delhi,Salt Lake,Studio,5,2477,492.63,19888.17,2006,Fully Furnished,20.0,29,18,0.0,2,4,1,CCTV,Pool,South,Individual,Available
34,Karnataka,Mysore,Gomti Nagar,House,2,946,98.76,10439.75,1994,Semi-Furnished,24.0,25,30,6.0,6,5,0,None,Pool,East,Individual,Available
35,Gujarat,Surat,Banjara Hills,Villa,3,1387,113.09,8153.57,2022,Fully Furnished,23.0,30,2,9.0,2,1,0,None,Gym+Pool,South,Agent,Available
36,West Bengal,Kolkata,Banjara Hills,Villa,2,831,43.86,5277.98,2000,Semi-Furnished,18.0,27,24,6.0,6,6,3,Guard,Clubhouse,West,Individual,Sold
37,Telangana,Warangal,Thane,Apartment,1,370,18.52,5005.41,2010,Semi-Furnished,5.0,6,14,4.0,0,2,0,Guard,Gym,North-East,Individual,Available
38,Gujarat,Vadodara,Jubilee Hills,Penthouse,4,1681,67.56,4019.04,2015,Fully Furnished,3.0,4,9,7.0,0,3,0,CCTV,Pool,South-West,Individual,Under Construction
39,Telangana,Warangal,Gachibowli,Apartment,2,1030,101.68,9871.84,2007,Semi-Furnished,5.0,8,17,2.0,6,9,2,CCTV,Pool,South,Builder,Under Construction
40,Gujarat,Ahmedabad,Koramangala,Apartment,3,1420,110.58,7787.32,2007,Semi-Furnished,14.0,18,17,5.0,1,8,3,None,Pool,East,Individual,Available
41,West Bengal,Howrah,HSR Layout,Apartment,5,2040,89.05,4365.2,1995,Fully Furnished,5.0,12,29,3.0,5,8,2,None,None,East,Builder,Available
42,Karnataka,Hubli,Whitefield,Apartment,5,2334,179.05,7671.38,1991,Fully Furnished,14.0,22,33,9.0,2,5,1,Gated,Gym+Pool,West,Builder,Available
43,Rajasthan,Jaipur,Electronic City,House,1,564,35.11,6225.18,1992,Semi-Furnished,0.0,6,32,1.0,7,5,2,Gated,All,South,Individual,Under Construction
44,Maharashtra,Mumbai,Powai,Villa,3,1351,139.45,10321.98,1994,Unfurnished,11.0,13,30,4.0,7,9,1,None,All,East,Agent,Under Construction
45,West Bengal,Siliguri,Powai,House,4,1733,95.37,5503.17,2003,Semi-Furnished,3.0,12,21,9.0,0,2,3,Gated,Gym,South-West,Agent,Under Construction
46,Maharashtra,Mumbai,Koramangala,Apartment,3,1418,81.56,5751.76,1995,Unfurnished,5.0,8,29,6.0,2,8,1,Guard,Gym+Pool,,Builder,Under Construction
47,Telangana,Warangal,Powai,Apartment,2,1126,123.33,10952.93,2022,Semi-Furnished,21.0,27,2,3.0,4,8,3,None,,North-East,Builder,Available
48,Telangana,Warangal,HSR Layout,Villa,3,1410,114.4,8113.48,2016,Semi-Furnished,4.0,8,8,9.0,7,6,1,Gated,None,,Agent,Available
49,Karnataka,Bangalore,Koramangala,Apartment,4,1816,301.34,16593.61,1997,Fully Furnished,9.0,10,27,9.0,0,6,2,CCTV,All,North,Agent,Available
