ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status,Floor_Ratio,School_Density_Score,Infra_Score,Amenity_Score,RERA_Ready,Future_Price_5Y,Good_Investment,State_enc,City_enc,Locality_enc,Property_Type_enc,Furnished_Status_enc,Facing_enc,Owner_Type_enc,Availability_Status_enc,Security_enc,Amenities_enc
1,Rajasthan,Jaipur,Kondapur,House,3,1314,52.48,3993.91,2013,Unfurnished,20.0,24,11,5.0,7,3,1,,All,West,Agent,Available,0.8,106.0,4.800000000000001,5,1,95.84,1,4,8,8,1,2,5,0,0,3,0
2,Maharashtra,Pune,Gomti Nagar,Apartment,1,414,36.91,8915.46,2017,Fully Furnished,15.0,18,7,6.0,3,9,2,Gated,Gym+Pool,North-East,Builder,Available,0.7894736842105263,84.0,6.300000000000001,4,1,72.01,1,3,17,4,0,0,2,1,0,1,3
3,Gujarat,Surat,Electronic City,Apartment,1,359,16.29,4537.6,1997,Fully Furnished,14.0,17,27,0.0,3,2,3,CCTV,All,South-West,Builder,Available,0.7777777777777778,24.0,1.7,5,1,25.88,1,1,20,2,0,0,4,1,0,0,0
4,Rajasthan,Jodhpur,Electronic City,Apartment,2,1177,133.9,11376.38,2020,Semi-Furnished,15.0,23,4,6.0,3,9,1,CCTV,Gym,North-East,Individual,Under Construction,0.625,84.0,6.300000000000001,2,0,261.22,0,4,9,2,0,1,2,2,2,0,2
5,Delhi,New Delhi,Powai,Apartment,2,893,88.58,9919.37,2000,Semi-Furnished,12.0,19,24,7.0,2,3,0,Guard,Gym,South,Individual,Available,0.6,86.0,3.9000000000000004,2,1,155.41,1,0,16,10,0,1,3,2,0,2,2
6,West Bengal,Howrah,Koramangala,Apartment,2,858,53.75,6264.57,2011,Fully Furnished,12.0,3,13,2.0,4,3,0,Guard,Pool,South-West,Builder,Available,3.0,52.0,3.0,3,1,90.57,1,7,5,9,0,0,4,1,0,2,4
7,Karnataka,Bangalore,Andheri,Apartment,3,1363,217.76,15976.52,2004,Fully Furnished,12.0,14,20,6.0,2,3,1,CCTV,Gym+Pool,South,Agent,Under Construction,0.8,76.0,3.6,4,0,376.96,0,2,1,0,0,0,3,0,2,0,3
8,Delhi,Dwarka,Gachibowli,Villa,4,1501,166.86,11116.59,2022,Unfurnished,0.0,9,2,8.0,3,9,2,Guard,Pool,East,Builder,Available,0.0,104.0,6.9,3,1,334.16,1,0,4,3,4,2,0,1,0,2,4
9,Delhi,Rohini,HSR Layout,Apartment,3,1208,142.06,11759.93,2001,Fully Furnished,6.0,8,23,2.0,0,5,0,CCTV,All,East,Builder,Available,0.6666666666666666,20.0,2.6,5,1,235.1,1,0,18,5,0,0,0,1,0,0,0
10,West Bengal,Kolkata,Koramangala,Apartment,2,1110,85.03,7660.36,2021,Unfurnished,5.0,12,3,3.0,6,8,2,CCTV,All,South-West,Individual,Under Construction,0.38461538461538464,78.0,5.8999999999999995,5,0,163.0,1,7,11,9,0,2,4,2,2,0,0
11,Tamil Nadu,Madurai,Koramangala,Apartment,3,1468,92.05,6270.44,2008,Semi-Furnished,2.0,5,16,3.0,7,7,3,Gated,Gym,South,Agent,Under Construction,0.3333333333333333,86.0,5.800000000000001,2,0,175.69,1,5,12,9,0,1,3,0,2,1,2
12,Karnataka,Hubli,Kondapur,Penthouse,2,964,87.82,9109.96,2015,Fully Furnished,15.0,24,9,3.0,3,1,1,Guard,Gym,West,Agent,Sold,0.6,54.0,2.1999999999999997,2,0,142.73,0,2,6,8,2,0,5,0,1,2,2
13,Maharashtra,Nagpur,Andheri,House,4,1837,164.55,8957.54,2000,Semi-Furnished,16.0,24,24,3.0,5,8,3,CCTV,All,South-West,Agent,Sold,0.64,70.0,5.6,5,0,311.31,1,3,15,0,1,1,4,0,1,0,0
14,Karnataka,Mysore,Gomti Nagar,Apartment,5,2301,114.94,4995.22,1993,Fully Furnished,0.0,5,31,3.0,7,8,2,CCTV,All,North,Builder,Available,0.0,86.0,6.199999999999999,5,1,223.26,1,2,14,4,0,0,1,1,0,0,0
